DATE,PERMIT(th)
01-01-2000,1727
01-02-2000,1692
01-03-2000,1651
01-04-2000,1597
01-05-2000,1543
01-06-2000,1572
01-07-2000,1542
01-08-2000,1552
01-09-2000,1570
01-10-2000,1577
01-11-2000,1614
01-12-2000,1543
01-01-2001,1699
01-02-2001,1656
01-03-2001,1659
01-04-2001,1666
01-05-2001,1665
01-06-2001,1626
01-07-2001,1598
01-08-2001,1615
01-09-2001,1565
01-10-2001,1566
01-11-2001,1651
01-12-2001,1680
01-01-2002,1665
01-02-2002,1787
01-03-2002,1691
01-04-2002,1669
01-05-2002,1716
01-06-2002,1758
01-07-2002,1738
01-08-2002,1695
01-09-2002,1803
01-10-2002,1799
01-11-2002,1771
01-12-2002,1896
01-01-2003,1808
01-02-2003,1854
01-03-2003,1757
01-04-2003,1803
01-05-2003,1835
01-06-2003,1875
01-07-2003,1885
01-08-2003,1966
01-09-2003,1961
01-10-2003,2012
01-11-2003,1918
01-12-2003,1987
01-01-2004,1952
01-02-2004,1966
01-03-2004,2066
01-04-2004,2070
01-05-2004,2150
01-06-2004,2020
01-07-2004,2112
01-08-2004,2056
01-09-2004,2041
01-10-2004,2097
01-11-2004,2079
01-12-2004,2082
01-01-2005,2139
01-02-2005,2114
01-03-2005,2062
01-04-2005,2150
01-05-2005,2085
01-06-2005,2178
01-07-2005,2203
01-08-2005,2219
01-09-2005,2263
01-10-2005,2170
01-11-2005,2218
01-12-2005,2120
01-01-2006,2212
01-02-2006,2141
01-03-2006,2118
01-04-2006,1998
01-05-2006,1905
01-06-2006,1867
01-07-2006,1763
01-08-2006,1722
01-09-2006,1655
01-10-2006,1570
01-11-2006,1535
01-12-2006,1638
01-01-2007,1626
01-02-2007,1598
01-03-2007,1596
01-04-2007,1470
01-05-2007,1493
01-06-2007,1407
01-07-2007,1361
01-08-2007,1321
01-09-2007,1261
01-10-2007,1192
01-11-2007,1224
01-12-2007,1149
01-01-2008,1094
01-02-2008,1014
01-03-2008,967
01-04-2008,1008
01-05-2008,995
01-06-2008,1180
01-07-2008,921
01-08-2008,858
01-09-2008,797
01-10-2008,736
01-11-2008,626
01-12-2008,554
01-01-2009,545
01-02-2009,558
01-03-2009,513
01-04-2009,521
01-05-2009,556
01-06-2009,601
01-07-2009,595
01-08-2009,616
01-09-2009,609
01-10-2009,583
01-11-2009,623
01-12-2009,664
01-01-2010,636
01-02-2010,650
01-03-2010,687
01-04-2010,637
01-05-2010,575
01-06-2010,587
01-07-2010,579
01-08-2010,580
01-09-2010,563
01-10-2010,558
01-11-2010,560
01-12-2010,632
01-01-2011,576
01-02-2011,542
01-03-2011,583
01-04-2011,581
01-05-2011,618
01-06-2011,636
01-07-2011,621
01-08-2011,647
01-09-2011,610
01-10-2011,671
01-11-2011,706
01-12-2011,697
01-01-2012,712
01-02-2012,738
01-03-2012,806
01-04-2012,732
01-05-2012,796
01-06-2012,794
01-07-2012,849
01-08-2012,840
01-09-2012,930
01-10-2012,887
01-11-2012,917
01-12-2012,941
01-01-2013,940
01-02-2013,980
01-03-2013,936
01-04-2013,1012
01-05-2013,1003
01-06-2013,942
01-07-2013,997
01-08-2013,964
01-09-2013,1004
01-10-2013,1044
01-11-2013,1029
01-12-2013,1005
01-01-2014,976
01-02-2014,1039
01-03-2014,1067
01-04-2014,1090
01-05-2014,1018
01-06-2014,1010
01-07-2014,1076
01-08-2014,1047
01-09-2014,1077
01-10-2014,1094
01-11-2014,1059
01-12-2014,1072
01-01-2015,1049
01-02-2015,1127
01-03-2015,1072
01-04-2015,1166
01-05-2015,1272
01-06-2015,1379
01-07-2015,1140
01-08-2015,1165
01-09-2015,1144
01-10-2015,1160
01-11-2015,1244
01-12-2015,1212
01-01-2016,1161
01-02-2016,1187
01-03-2016,1114
01-04-2016,1158
01-05-2016,1196
01-06-2016,1208
01-07-2016,1190
01-08-2016,1205
01-09-2016,1280
01-10-2016,1278
01-11-2016,1236
01-12-2016,1252
01-01-2017,1301
01-02-2017,1240
01-03-2017,1285
01-04-2017,1258
01-05-2017,1209
01-06-2017,1329
01-07-2017,1264
01-08-2017,1314
01-09-2017,1257
01-10-2017,1346
01-11-2017,1302
01-12-2017,1309
01-01-2018,1352
01-02-2018,1332
01-03-2018,1407
01-04-2018,1391
01-05-2018,1331
01-06-2018,1320
01-07-2018,1328
01-08-2018,1264
01-09-2018,1289
01-10-2018,1275
01-11-2018,1318
01-12-2018,1338
01-01-2019,1295
01-02-2019,1304
01-03-2019,1316
01-04-2019,1337
01-05-2019,1337
01-06-2019,1276
01-07-2019,1369
01-08-2019,1479
01-09-2019,1439
01-10-2019,1509
01-11-2019,1509
01-12-2019,1453
01-01-2020,1550
01-02-2020,1478
01-03-2020,1382
01-04-2020,1094
01-05-2020,1246
01-06-2020,1296
01-07-2020,1542
01-08-2020,1522
01-09-2020,1589
01-10-2020,1595
01-11-2020,1696
01-12-2020,1758
01-01-2021,1883
01-02-2021,1726
01-03-2021,1755
01-04-2021,1733
01-05-2021,1683
01-06-2021,1594
01-07-2021,1630
01-08-2021,1721
