Series ID,Year,Period,Label,Value
CXUTOTALEXPLB0404M,2000,A01,2000 Annual,45149
CXUTOTALEXPLB0404M,2001,A01,2001 Annual,46908
CXUTOTALEXPLB0404M,2002,A01,2002 Annual,48330
CXUTOTALEXPLB0404M,2003,A01,2003 Annual,47175
CXUTOTALEXPLB0404M,2004,A01,2004 Annual,50402
CXUTOTALEXPLB0404M,2005,A01,2005 Annual,55190
CXUTOTALEXPLB0404M,2006,A01,2006 Annual,57476
CXUTOTALEXPLB0404M,2007,A01,2007 Annual,58934
CXUTOTALEXPLB0404M,2008,A01,2008 Annual,58808
CXUTOTALEXPLB0404M,2009,A01,2009 Annual,57301
CXUTOTALEXPLB0404M,2010,A01,2010 Annual,55946
CXUTOTALEXPLB0404M,2011,A01,2011 Annual,57271
CXUTOTALEXPLB0404M,2012,A01,2012 Annual,58069
CXUTOTALEXPLB0404M,2013,A01,2013 Annual,58784
CXUTOTALEXPLB0404M,2014,A01,2014 Annual,62512
CXUTOTALEXPLB0404M,2015,A01,2015 Annual,65334
CXUTOTALEXPLB0404M,2016,A01,2016 Annual,66444
CXUTOTALEXPLB0404M,2017,A01,2017 Annual,69034
CXUTOTALEXPLB0404M,2018,A01,2018 Annual,71198
CXUTOTALEXPLB0404M,2019,A01,2019 Annual,74890
CXUTOTALEXPLB0404M,2020,A01,2020 Annual,74156
