DATE,CIU2022300000000I
2001-01-01,87.3
2001-04-01,88.2
2001-07-01,88.9
2001-10-01,89.6
2002-01-01,89.9
2002-04-01,90.7
2002-07-01,91.3
2002-10-01,92.1
2003-01-01,92.3
2003-04-01,93.4
2003-07-01,94.2
2003-10-01,94.5
2004-01-01,95.4
2004-04-01,95.9
2004-07-01,97.0
2004-10-01,96.9
2005-01-01,97.3
2005-04-01,98.3
2005-07-01,99.4
2005-10-01,100.0
2006-01-01,100.6
2006-04-01,102.0
2006-07-01,102.9
2006-10-01,103.7
2007-01-01,104.9
2007-04-01,106.0
2007-07-01,107.0
2007-10-01,107.8
2008-01-01,109.0
2008-04-01,110.0
2008-07-01,110.6
2008-10-01,111.1
2009-01-01,111.2
2009-04-01,111.4
2009-07-01,111.7
2009-10-01,111.9
2010-01-01,112.1
2010-04-01,112.2
2010-07-01,112.8
2010-10-01,112.7
2011-01-01,112.7
2011-04-01,113.2
2011-07-01,113.6
2011-10-01,114.1
2012-01-01,113.9
2012-04-01,114.4
2012-07-01,115.2
2012-10-01,115.5
2013-01-01,115.8
2013-04-01,116.4
2013-07-01,117.3
2013-10-01,117.4
2014-01-01,117.3
2014-04-01,117.8
2014-07-01,119.0
2014-10-01,119.6
2015-01-01,119.7
2015-04-01,120.6
2015-07-01,121.8
2015-10-01,122.7
2016-01-01,122.8
2016-04-01,123.9
2016-07-01,124.2
2016-10-01,125.3
2017-01-01,126.1
2017-04-01,126.8
2017-07-01,127.9
2017-10-01,128.4
2018-01-01,129.5
2018-04-01,130.9
2018-07-01,131.8
2018-10-01,132.4
2019-01-01,133.3
2019-04-01,134.7
2019-07-01,136.7
2019-10-01,137.4
2020-01-01,138.0
2020-04-01,139.9
2020-07-01,140.5
2020-10-01,141.2
2021-01-01,142.1
2021-04-01,144.4
