Year,First,Second,Third,Fourth
2021,65.6,65.6,,
2020,65.3,68.1,67.3,65.7
2019,64.2,64.3,64.7,65
2018,64.2,64.5,64.4,64.6
2017,63.6,63.9,63.9,64
2016,63.5,63.1,63.4,63.5
2015,63.8,63.5,63.6,63.7
2014,64.9,64.8,64.3,63.9
2013,65.2,65.1,65.2,65.1
2012,65.6,65.6,65.4,65.3
2011,66.5,66,66.1,65.9
2010,67.2,66.9,66.7,66.5
2009,67.4,67.4,67.4,67.2
2008,67.9,68.1,67.7,67.5
2007,68.5,68.3,68,67.8
2006,68.6,68.8,68.9,68.8
2005,69.2,68.7,68.7,68.9
2004,68.7,69.4,68.9,69.1
2003,68.1,68.2,68.3,68.5
2002,67.9,67.8,67.9,68.2
2001,67.6,67.8,67.9,67.9
2000,67.1,67.3,67.5,67.5
