,HCAI_GSE
2001-01,5.836
2001-02,5.776000000000001
2001-03,5.716
2001-04,5.647
2001-05,5.617
2001-06,5.587000000000001
2001-07,5.562
2001-08,5.402
2001-09,5.242
2001-10,5.079
2001-11,5.109
2001-12,5.138999999999999
2002-01,5.179
2002-02,5.3790000000000004
2002-03,5.579000000000001
2002-04,5.767
2002-05,5.727
2002-06,5.687
2002-07,5.634
2002-08,5.604
2002-09,5.574000000000001
2002-10,5.554
2002-11,5.564
2002-12,5.574
2003-01,5.59
2003-02,5.57
2003-03,5.55
2003-04,5.528
2003-05,5.558
2003-06,5.587999999999999
2003-07,5.615
2003-08,5.745
2003-09,5.875
2003-10,6.006
2003-11,6.046
2003-12,6.086
2004-01,6.123
2004-02,6.103000000000001
2004-03,6.083
2004-04,6.064
2004-05,6.134
2004-06,6.204
2004-07,6.274
2004-08,6.274
2004-09,6.274
2004-10,6.259
2004-11,6.269
2004-12,6.279
2005-01,6.275
2005-02,6.165
2005-03,6.055000000000001
2005-04,5.959
2005-05,5.819
2005-06,5.678999999999999
2005-07,5.538
2005-08,5.748
2005-09,5.958
2005-10,6.177
2005-11,6.327
2005-12,6.476999999999999
2006-01,6.632
2006-02,6.702
2006-03,6.771999999999999
2006-04,6.828
2006-05,6.958
2006-06,7.088
2006-07,7.23
2006-08,7.33
2006-09,7.430000000000001
2006-10,7.524
2006-11,7.694
2006-12,7.864
2007-01,8.019
2007-02,8.199
2007-03,8.379
2007-04,8.571
2007-05,8.451
2007-06,8.331
2007-07,8.22
2007-08,8.06
2007-09,7.9
2007-10,7.747
2007-11,7.277
2007-12,6.807
2008-01,6.342
2008-02,5.662
2008-03,4.981999999999999
2008-04,4.296
2008-05,4.056
2008-06,3.8160000000000003
2008-07,3.571
2008-08,3.391
2008-09,3.2110000000000003
2008-10,3.018
2008-11,2.6479999999999997
2008-12,2.2779999999999996
2009-01,1.915
2009-02,1.845
2009-03,1.775
2009-04,1.71
2009-05,1.66
2009-06,1.6099999999999999
2009-07,1.562
2009-08,1.582
2009-09,1.602
2009-10,1.633
2009-11,1.633
2009-12,1.633
2010-01,1.642
2010-02,1.6219999999999999
2010-03,1.6019999999999999
2010-04,1.596
2010-05,1.546
2010-06,1.496
2010-07,1.455
2010-08,1.435
2010-09,1.415
2010-10,1.39
2010-11,1.4
2010-12,1.41
2011-01,1.407
2011-02,1.397
2011-03,1.387
2011-04,1.367
2011-05,1.387
2011-06,1.407
2011-07,1.438
2011-08,1.448
2011-09,1.458
2011-10,1.476
2011-11,1.486
2011-12,1.496
2012-01,1.495
2012-02,1.495
2012-03,1.495
2012-04,1.504
2012-05,1.494
2012-06,1.484
2012-07,1.487
2012-08,1.5070000000000001
2012-09,1.5270000000000001
2012-10,1.552
2012-11,1.612
2012-12,1.6720000000000002
2013-01,1.719
2013-02,1.729
2013-03,1.739
2013-04,1.76
2013-05,1.77
2013-06,1.78
2013-07,1.804
2013-08,1.844
2013-09,1.8840000000000001
2013-10,1.93
2013-11,1.94
2013-12,1.95
2014-01,1.956
2014-02,1.956
2014-03,1.956
2014-04,1.947
2014-05,1.957
2014-06,1.967
2014-07,1.97
2014-08,1.99
2014-09,2.01
2014-10,2.03
2014-11,2.1199999999999997
2014-12,2.21
2015-01,2.298
2015-02,2.2680000000000002
2015-03,2.238
2015-04,2.193
2015-05,2.203
2015-06,2.213
2015-07,2.211
2015-08,2.2209999999999996
2015-09,2.231
2015-10,2.23
2015-11,2.26
2015-12,2.29
2016-01,2.321
2016-02,2.321
2016-03,2.321
2016-04,2.318
2016-05,2.318
2016-06,2.318
2016-07,2.307
2016-08,2.3569999999999998
2016-09,2.407
2016-10,2.457
2016-11,2.4669999999999996
2016-12,2.477
2017-01,2.501
2017-02,2.5109999999999997
2017-03,2.521
2017-04,2.532
2017-05,2.622
2017-06,2.712
2017-07,2.816
2017-08,2.856
2017-09,2.896
2017-10,2.927
2017-11,2.937
2017-12,2.947
2018-01,2.961
2018-02,2.961
2018-03,2.961
2018-04,2.97
2018-05,2.99
2018-06,3.0100000000000002
2018-07,3.019
2018-08,3.029
2018-09,3.039
2018-10,3.055
2018-11,3.065
2018-12,3.075
2019-01,3.071
2019-02,3.0410000000000004
2019-03,3.011
2019-04,2.974
2019-05,2.9240000000000004
2019-06,2.874
2019-07,2.831
2019-08,2.791
2019-09,2.751
2019-10,2.696
2019-11,2.6860000000000004
2019-12,2.676
2020-01,2.658
2020-02,2.6679999999999997
2020-03,2.678
2020-04,2.679
2020-05,2.629
2020-06,2.5789999999999997
2020-07,2.534
2020-08,2.534
2020-09,2.534
2020-10,2.533
2020-11,2.5429999999999997
2020-12,2.553
