,HCAI_PP
2001-01,16.253
2001-02,16.053
2001-03,15.853
2001-04,15.664
2001-05,15.514
2001-06,15.363999999999999
2001-07,15.213
2001-08,15.203
2001-09,15.193
2001-10,15.188
2001-11,15.368
2001-12,15.548
2002-01,15.739
2002-02,15.739
2002-03,15.739
2002-04,15.743
2002-05,15.843
2002-06,15.943
2002-07,16.048
2002-08,16.168
2002-09,16.287999999999997
2002-10,16.404
2002-11,16.684
2002-12,16.964
2003-01,17.231
2003-02,17.111
2003-03,16.991000000000003
2003-04,16.863
2003-05,16.893
2003-06,16.923
2003-07,16.945
2003-08,17.535
2003-09,18.125
2003-10,18.715
2003-11,18.775
2003-12,18.835
2004-01,18.895
2004-02,18.845
2004-03,18.794999999999998
2004-04,18.759
2004-05,19.229
2004-06,19.699
2004-07,20.181
2004-08,20.021
2004-09,19.861
2004-10,19.687
2004-11,19.777
2004-12,19.867
2005-01,19.95
2005-02,20.08
2005-03,20.21
2005-04,20.327
2005-05,20.247000000000003
2005-06,20.167
2005-07,20.09
2005-08,20.419999999999998
2005-09,20.75
2005-10,21.088
2005-11,21.318
2005-12,21.548000000000002
2006-01,21.774
2006-02,21.664
2006-03,21.554000000000002
2006-04,21.437
2006-05,21.407
2006-06,21.377000000000002
2006-07,21.362
2006-08,21.351999999999997
2006-09,21.342
2006-10,21.321
2006-11,20.301000000000002
2006-12,19.281000000000002
2007-01,18.249
2007-02,16.009
2007-03,13.768999999999998
2007-04,11.542
2007-05,11.112
2007-06,10.682
2007-07,10.264
2007-08,10.293999999999999
2007-09,10.324
2007-10,10.363
2007-11,9.642999999999999
2007-12,8.923
2008-01,8.207
2008-02,7.497000000000001
2008-03,6.787000000000001
2008-04,6.064
2008-05,5.774
2008-06,5.484
2008-07,5.199
2008-08,5.429
2008-09,5.659
2008-10,5.897
2008-11,6.127000000000001
2008-12,6.357
2009-01,6.591
2009-02,6.381
2009-03,6.171
2009-04,5.958
2009-05,6.078
2009-06,6.198
2009-07,6.325
2009-08,6.735
2009-09,7.1450000000000005
2009-10,7.568
2009-11,7.388
2009-12,7.207999999999999
2010-01,7.014
2010-02,6.684
2010-03,6.354
2010-04,6.017
2010-05,5.567
2010-06,5.117
2010-07,4.672
2010-08,4.481999999999999
2010-09,4.292
2010-10,4.096
2010-11,4.586
2010-12,5.0760000000000005
2011-01,5.567
2011-02,4.777
2011-03,3.987
2011-04,3.208
2011-05,3.3480000000000003
2011-06,3.4880000000000004
2011-07,3.64
2011-08,3.83
2011-09,4.0200000000000005
2011-10,4.221
2011-11,4.361
2011-12,4.501
2012-01,4.65
2012-02,4.300000000000001
2012-03,3.95
2012-04,3.613
2012-05,3.683
2012-06,3.753
2012-07,3.82
2012-08,3.6999999999999997
2012-09,3.58
2012-10,3.459
2012-11,3.259
2012-12,3.059
2013-01,2.854
2013-02,2.694
2013-03,2.5340000000000003
2013-04,2.375
2013-05,2.345
2013-06,2.315
2013-07,2.293
2013-08,2.333
2013-09,2.373
2013-10,2.422
2013-11,2.472
2013-12,2.5220000000000002
2014-01,2.564
2014-02,2.494
2014-03,2.424
2014-04,2.342
2014-05,2.3320000000000003
2014-06,2.322
2014-07,2.314
2014-08,2.324
2014-09,2.334
2014-10,2.357
2014-11,2.3770000000000002
2014-12,2.3970000000000002
2015-01,2.409
2015-02,2.389
2015-03,2.3689999999999998
2015-04,2.335
2015-05,2.335
2015-06,2.335
2015-07,2.328
2015-08,2.3579999999999997
2015-09,2.388
2015-10,2.432
2015-11,2.492
2015-12,2.552
2016-01,2.614
2016-02,2.584
2016-03,2.554
2016-04,2.535
2016-05,2.535
2016-06,2.535
2016-07,2.54
2016-08,2.55
2016-09,2.56
2016-10,2.578
2016-11,2.598
2016-12,2.618
2017-01,2.642
2017-02,2.612
2017-03,2.582
2017-04,2.558
2017-05,2.538
2017-06,2.518
2017-07,2.485
2017-08,2.5149999999999997
2017-09,2.545
2017-10,2.584
2017-11,2.564
2017-12,2.544
2018-01,2.518
2018-02,2.538
2018-03,2.558
2018-04,2.568
2018-05,2.568
2018-06,2.568
2018-07,2.574
2018-08,2.5839999999999996
2018-09,2.594
2018-10,2.618
2018-11,2.6679999999999997
2018-12,2.718
2019-01,2.774
2019-02,2.784
2019-03,2.794
2019-04,2.791
2019-05,2.771
2019-06,2.751
2019-07,2.725
2019-08,2.685
2019-09,2.645
2019-10,2.597
2019-11,2.657
2019-12,2.717
2020-01,2.77
2020-02,2.8
2020-03,2.83
2020-04,2.851
2020-05,2.801
2020-06,2.751
2020-07,2.688
2020-08,2.708
2020-09,2.728
2020-10,2.744
2020-11,2.7640000000000002
2020-12,2.7840000000000003
