DATE,industrial_production_cement
2001-01,139.6212
2001-02,144.0119
2001-03,147.6176
2001-04,152.7136
2001-05,149.722
2001-06,147.0667
2001-07,147.7762
2001-08,145.366
2001-09,143.2778
2001-10,146.5513
2001-11,151.3547
2001-12,149.5098
2002-01,154.1419
2002-02,153.3632
2002-03,144.805
2002-04,142.7848
2002-05,141.9244
2002-06,144.884
2002-07,143.1954
2002-08,142.5378
2002-09,144.0206
2002-10,140.5446
2002-11,141.7547
2002-12,136.2256
2003-01,145.7225
2003-02,130.7091
2003-03,139.8525
2003-04,143.4343
2003-05,143.7151
2003-06,146.4852
2003-07,151.797
2003-08,152.5045
2003-09,154.9714
2003-10,162.1089
2003-11,156.8136
2003-12,160.2361
2004-01,152.7935
2004-02,149.9024
2004-03,169.2242
2004-04,170.9724
2004-05,166.8887
2004-06,161.1153
2004-07,165.4145
2004-08,165.4143
2004-09,164.6825
2004-10,159.7835
2004-11,155.9546
2004-12,165.2719
2005-01,162.3785
2005-02,166.6087
2005-03,164.5933
2005-04,160.4672
2005-05,164.6119
2005-06,164.6056
2005-07,157.522
2005-08,158.9628
2005-09,160.26
2005-10,161.7869
2005-11,166.9371
2005-12,170.1463
2006-01,192.0652
2006-02,187.1223
2006-03,174.9067
2006-04,165.8442
2006-05,160.6413
2006-06,161.3169
2006-07,152.8826
2006-08,153.766
2006-09,149.9777
2006-10,151.0768
2006-11,153.3352
2006-12,167.7831
2007-01,160.0941
2007-02,153.1254
2007-03,154.2816
2007-04,152.554
2007-05,154.5391
2007-06,150.0106
2007-07,150.482
2007-08,149.1286
2007-09,149.7947
2007-10,147.7852
2007-11,151.528
2007-12,145.0422
2008-01,148.5896
2008-02,145.2157
2008-03,141.6361
2008-04,141.7037
2008-05,137.5872
2008-06,134.7065
2008-07,134.9949
2008-08,126.4644
2008-09,122.5857
2008-10,118.4858
2008-11,110.5243
2008-12,103.7625
2009-01,95.268
2009-02,97.7121
2009-03,86.959
2009-04,81.9796
2009-05,78.9117
2009-06,78.8185
2009-07,79.7505
2009-08,77.2573
2009-09,76.4036
2009-10,67.7822
2009-11,74.3734
2009-12,69.8465
2010-01,68.4438
2010-02,66.3308
2010-03,74.3536
2010-04,83.5931
2010-05,81.0666
2010-06,79.9186
2010-07,78.0252
2010-08,80.838
2010-09,80.7044
2010-10,82.8921
2010-11,82.679
2010-12,80.3016
2011-01,78.9985
2011-02,82.783
2011-03,80.3358
2011-04,80.2174
2011-05,83.0374
2011-06,85.5268
2011-07,86.6476
2011-08,88.4671
2011-09,87.539
2011-10,88.3203
2011-11,87.8219
2011-12,92.3973
2012-01,95.8334
2012-02,95.3618
2012-03,93.6265
2012-04,94.8657
2012-05,92.7778
2012-06,91.4306
2012-07,90.0394
2012-08,90.1235
2012-09,89.7602
2012-10,91.4529
2012-11,95.969
2012-12,96.183
2013-01,98.808
2013-02,100.6176
2013-03,100.5714
2013-04,95.5972
2013-05,99.5294
2013-06,101.121
2013-07,101.9235
2013-08,103.1386
2013-09,105.1544
2013-10,103.4307
2013-11,100.2908
2013-12,99.2353
2014-01,96.7022
2014-02,96.6089
2014-03,98.2313
2014-04,99.8831
2014-05,103.251
2014-06,102.008
2014-07,104.7714
2014-08,103.4758
2014-09,106.39
2014-10,107.4887
2014-11,100.1767
2014-12,107.8631
2015-01,107.9359
2015-02,98.3147
2015-03,98.0826
2015-04,102.9391
2015-05,104.7355
2015-06,107.3932
2015-07,112.8016
2015-08,114.2742
2015-09,114.3883
2015-10,113.1105
2015-11,112.979
2015-12,119.8914
2016-01,116.8221
2016-02,119.0387
2016-03,118.9531
2016-04,109.6885
2016-05,107.6508
2016-06,110.6206
2016-07,105.6264
2016-08,105.0128
2016-09,105.015
2016-10,106.1325
2016-11,107.8348
2016-12,103.959
2017-01,104.5353
2017-02,109.9884
2017-03,104.8562
2017-04,99.9622
2017-05,98.7456
2017-06,98.5332
2017-07,96.3572
2017-08,96.2598
2017-09,96.0601
2017-10,98.202
2017-11,102.1896
2017-12,102.0094
2018-01,100.8531
2018-02,101.2208
2018-03,100.3428
2018-04,102.2486
2018-05,104.4935
2018-06,102.1195
2018-07,102.2554
2018-08,101.8867
2018-09,100.1267
2018-10,100.1888
2018-11,97.8219
2018-12,99.0561
2019-01,108.0762
2019-02,102.6641
2019-03,101.9841
2019-04,102.6135
2019-05,101.4282
2019-06,100.9817
2019-07,103.8818
2019-08,104.6386
2019-09,107.698
2019-10,103.9359
2019-11,100.9403
2019-12,103.3535
2020-01,114.0748
2020-02,108.1299
2020-03,103.5584
2020-04,96.947
2020-05,99.1911
2020-06,103.7352
2020-07,102.3294
2020-08,100.7609
2020-09,100.6016
2020-10,102.4985
2020-11,109.141
2020-12,111.1357
