DATE,retail_sales_home_furnishing_stores
2001-01,7764
2001-02,7611
2001-03,7549
2001-04,7560
2001-05,7559
2001-06,7613
2001-07,7671
2001-08,7628
2001-09,7419
2001-10,7543
2001-11,7694
2001-12,7869
2002-01,7847
2002-02,7932
2002-03,7936
2002-04,7874
2002-05,7959
2002-06,7831
2002-07,7741
2002-08,7837
2002-09,7832
2002-10,7789
2002-11,7963
2002-12,7927
2003-01,7824
2003-02,7501
2003-03,7854
2003-04,7895
2003-05,8062
2003-06,8084
2003-07,8115
2003-08,8156
2003-09,8214
2003-10,8244
2003-11,8358
2003-12,8312
2004-01,8307
2004-02,8375
2004-03,8585
2004-04,8519
2004-05,8389
2004-06,8572
2004-07,8868
2004-08,8675
2004-09,8604
2004-10,8806
2004-11,8722
2004-12,8905
2005-01,8856
2005-02,8908
2005-03,8840
2005-04,8994
2005-05,8963
2005-06,9093
2005-07,9084
2005-08,9193
2005-09,9244
2005-10,9315
2005-11,9319
2005-12,9260
2006-01,9561
2006-02,9439
2006-03,9431
2006-04,9402
2006-05,9368
2006-06,9485
2006-07,9442
2006-08,9422
2006-09,9549
2006-10,9375
2006-11,9311
2006-12,9334
2007-01,9609
2007-02,9369
2007-03,9406
2007-04,9430
2007-05,9331
2007-06,9264
2007-07,9315
2007-08,9300
2007-09,9141
2007-10,9142
2007-11,9094
2007-12,9009
2008-01,8873
2008-02,8594
2008-03,8631
2008-04,8606
2008-05,8587
2008-06,8473
2008-07,8369
2008-08,8154
2008-09,7722
2008-10,7735
2008-11,7640
2008-12,7460
2009-01,7363
2009-02,7285
2009-03,7041
2009-04,7067
2009-05,7087
2009-06,7092
2009-07,7039
2009-08,6991
2009-09,6981
2009-10,6915
2009-11,6991
2009-12,7024
2010-01,7011
2010-02,7131
2010-03,7228
2010-04,7121
2010-05,7117
2010-06,7072
2010-07,7094
2010-08,7130
2010-09,7108
2010-10,7039
2010-11,7098
2010-12,7068
2011-01,6992
2011-02,7145
2011-03,7404
2011-04,7313
2011-05,7245
2011-06,7227
2011-07,7263
2011-08,7333
2011-09,7384
2011-10,7303
2011-11,7378
2011-12,7537
2012-01,7646
2012-02,7627
2012-03,7587
2012-04,7502
2012-05,7652
2012-06,7544
2012-07,7650
2012-08,7593
2012-09,7614
2012-10,7416
2012-11,7620
2012-12,7972
2013-01,7912
2013-02,7863
2013-03,7867
2013-04,7834
2013-05,7759
2013-06,7986
2013-07,7973
2013-08,8022
2013-09,8084
2013-10,8191
2013-11,8236
2013-12,7988
2014-01,7808
2014-02,8111
2014-03,8254
2014-04,8366
2014-05,8347
2014-06,8369
2014-07,8380
2014-08,8517
2014-09,8442
2014-10,8484
2014-11,8577
2014-12,8739
2015-01,8688
2015-02,8501
2015-03,8759
2015-04,8882
2015-05,9066
2015-06,8903
2015-07,9064
2015-08,9086
2015-09,9045
2015-10,9162
2015-11,9152
2015-12,9361
2016-01,9239
2016-02,9277
2016-03,9236
2016-04,9203
2016-05,9278
2016-06,9422
2016-07,9350
2016-08,9333
2016-09,9487
2016-10,9391
2016-11,9358
2016-12,9297
2017-01,9499
2017-02,9498
2017-03,9576
2017-04,9434
2017-05,9507
2017-06,9570
2017-07,9529
2017-08,9601
2017-09,9496
2017-10,9804
2017-11,9937
2017-12,9960
2018-01,9875
2018-02,9910
2018-03,9937
2018-04,10113
2018-05,9974
2018-06,9971
2018-07,10006
2018-08,9885
2018-09,9818
2018-10,9907
2018-11,9917
2018-12,9884
2019-01,9787
2019-02,9862
2019-03,10008
2019-04,10073
2019-05,10074
2019-06,10071
2019-07,10067
2019-08,10082
2019-09,10177
2019-10,10120
2019-11,10219
2019-12,9990
2020-01,10475
2020-02,10456
2020-03,8225
2020-04,4160
2020-05,7349
2020-06,10104
2020-07,10346
2020-08,10812
2020-09,10843
2020-10,10864
2020-11,10705
2020-12,10621
