DATE,unrate_construction
2001-01,9.8
2001-02,9.9
2001-03,8.4
2001-04,7.1
2001-05,5.6
2001-06,5.1
2001-07,4.9
2001-08,5.8
2001-09,5.5
2001-10,6.1
2001-11,7.6
2001-12,9.0
2002-01,13.6
2002-02,12.2
2002-03,11.8
2002-04,10.1
2002-05,7.4
2002-06,6.9
2002-07,6.9
2002-08,7.4
2002-09,7.0
2002-10,7.7
2002-11,8.5
2002-12,10.9
2003-01,14.0
2003-02,14.0
2003-03,11.8
2003-04,9.3
2003-05,8.4
2003-06,7.9
2003-07,7.5
2003-08,7.1
2003-09,7.6
2003-10,7.4
2003-11,7.8
2003-12,9.3
2004-01,11.3
2004-02,11.6
2004-03,11.3
2004-04,9.5
2004-05,7.4
2004-06,7.0
2004-07,6.4
2004-08,6.0
2004-09,6.8
2004-10,6.9
2004-11,7.4
2004-12,9.5
2005-01,11.8
2005-02,12.3
2005-03,10.3
2005-04,7.4
2005-05,6.1
2005-06,5.7
2005-07,5.2
2005-08,5.7
2005-09,5.7
2005-10,5.3
2005-11,5.7
2005-12,8.2
2006-01,9.0
2006-02,8.6
2006-03,8.5
2006-04,6.9
2006-05,6.6
2006-06,5.6
2006-07,6.1
2006-08,5.9
2006-09,5.6
2006-10,4.5
2006-11,6.0
2006-12,6.9
2007-01,8.9
2007-02,10.5
2007-03,9.0
2007-04,8.6
2007-05,6.9
2007-06,5.9
2007-07,5.9
2007-08,5.3
2007-09,5.8
2007-10,6.1
2007-11,6.2
2007-12,9.4
2008-01,11.0
2008-02,11.4
2008-03,12.0
2008-04,11.1
2008-05,8.6
2008-06,8.2
2008-07,8.0
2008-08,8.2
2008-09,9.9
2008-10,10.8
2008-11,12.7
2008-12,15.3
2009-01,18.2
2009-02,21.4
2009-03,21.1
2009-04,18.7
2009-05,19.2
2009-06,17.4
2009-07,18.2
2009-08,16.5
2009-09,17.1
2009-10,18.7
2009-11,19.4
2009-12,22.7
2010-01,24.7
2010-02,27.1
2010-03,24.9
2010-04,21.8
2010-05,20.1
2010-06,20.1
2010-07,17.3
2010-08,17.0
2010-09,17.2
2010-10,17.3
2010-11,18.8
2010-12,20.7
2011-01,22.5
2011-02,21.8
2011-03,20.0
2011-04,17.8
2011-05,16.3
2011-06,15.6
2011-07,13.6
2011-08,13.5
2011-09,13.3
2011-10,13.7
2011-11,13.1
2011-12,16.0
2012-01,17.7
2012-02,17.1
2012-03,17.2
2012-04,14.5
2012-05,14.2
2012-06,12.8
2012-07,12.3
2012-08,11.3
2012-09,11.9
2012-10,11.4
2012-11,12.2
2012-12,13.5
2013-01,16.1
2013-02,15.7
2013-03,14.7
2013-04,13.2
2013-05,10.8
2013-06,9.8
2013-07,9.1
2013-08,9.1
2013-09,8.5
2013-10,9.0
2013-11,8.6
2013-12,11.4
2014-01,12.3
2014-02,12.8
2014-03,11.3
2014-04,9.4
2014-05,8.6
2014-06,8.2
2014-07,7.5
2014-08,7.7
2014-09,7.0
2014-10,6.4
2014-11,7.5
2014-12,8.3
2015-01,9.8
2015-02,10.6
2015-03,9.5
2015-04,7.5
2015-05,6.7
2015-06,6.3
2015-07,5.5
2015-08,6.1
2015-09,5.5
2015-10,6.2
2015-11,6.2
2015-12,7.5
2016-01,8.5
2016-02,8.7
2016-03,8.7
2016-04,6.0
2016-05,5.2
2016-06,4.6
2016-07,4.5
2016-08,5.1
2016-09,5.2
2016-10,5.7
2016-11,5.7
2016-12,7.4
2017-01,9.4
2017-02,8.8
2017-03,8.4
2017-04,6.3
2017-05,5.3
2017-06,4.5
2017-07,4.9
2017-08,4.7
2017-09,4.7
2017-10,4.5
2017-11,5.0
2017-12,5.9
2018-01,7.3
2018-02,7.8
2018-03,7.4
2018-04,6.5
2018-05,4.4
2018-06,4.7
2018-07,3.4
2018-08,3.4
2018-09,4.1
2018-10,3.6
2018-11,3.9
2018-12,5.1
2019-01,6.4
2019-02,6.2
2019-03,5.2
2019-04,4.7
2019-05,3.2
2019-06,4.0
2019-07,3.8
2019-08,3.6
2019-09,3.2
2019-10,4.0
2019-11,4.4
2019-12,5.0
2020-01,5.4
2020-02,5.5
2020-03,6.9
2020-04,16.6
2020-05,12.7
2020-06,10.1
2020-07,8.9
2020-08,7.6
2020-09,7.1
2020-10,6.8
2020-11,7.3
2020-12,9.6
